id,title,genre,date,key,title_imslp,notes,sources
323,Applicatio,sacred cantatas,1782-08-24,G major,"Applicatio, MH 323","movements reworked into MH 324, 325, and 673",
324,In adoratione nostra,offertories,after 1782-08-24,G major,"In adoratione nostra, MH 324",derived from MH 323,
325,Cantate Domino,offertories,after 1782-08-24,E-flat major,,derived from MH 323,
326,Veni creator spiritus,hymns,1782-08-26,C major,"Veni creator Spiritus, MH 326",,
327,Surgite Sancti,antiphons,1782-08-27,F major,"Surgite Sancti Dei, MH 327",,
328,Sancti Dei omnes,antiphons,1782-08-27,F major,"Sancti Dei omnes, MH 328",,
329,Jesu redemptor omnium,hymns,1782-08-27,C major,"Jesu Redemptor omnium, MH 329",,
330,Litaniae della Madonna,litanies,1782-12-24,D major,,,
331,Ex ore infantium,introits,1782-12-26,A minor,"Ex ore infantium, MH 331",,A-RB IV.70
332,Alme Deus,offertories,1783,C major,,,A-LA 1378 (603002659)
333,6 Menuetti,minuets,1783-02-07,C major,,,
334,Sinfonia,sinfonias,1783-05-23,G major,"Symphony No.25 in G major, MH 334",,
335,Sonata,sonatas,1783,F major,"Sonata for Violin and Viola in C major, MH 335",,
336,Sonata,sonatas,1783,D major,"Sonata for Violin and Viola in D major, MH 336",,
337,Sonata,sonatas,1783,E major,,,
338,Sonata,sonatas,1783,F major,,,
339,Marcia,marches,1783-08-03,D major,,,
340,Sinfonia,sinfonias,1783-08-14,E-flat major,,,
341,Viderunt omnes,graduals,1783-12-06,F major,"Viderunt omnes, MH 341",,
342,Alleluia. Laudate pueri,graduals,1783-12-12,F major,"Laudate pueri, MH 342",,
343,Sederunt principes,graduals,1783-12-17,G major,"Sederunt principes, MH 343",,
344,Hic est discipulus,graduals,1783-12-21,B-flat major,"Hic est discipulus ille, MH 344",,
345,Ecce sacerdos,graduals,1783-12-24,E minor,"Ecce sacerdos, MH 345",,
346,Sub tuum praesidium,offertories,c. 1782–1784,C major,,,D-Mbs Mus.ms. 5148 (450109655)
347,Salve Regina,antiphons,c. 1782–1784,F major,,,A-Wn Mus.Hs.18558
348,Benedictus es Domine,graduals,c. 1782–1784,G major,,,A-KR C 55/117 (600176194)
349,"Freundschaft, du Zucker",duets,1784,F major,,lost,
350,Omnes de Saba,graduals,1784-01-02,G major,"Omnes de Saba venient, MH 350",,
351,Salvos fac nos,graduals,1784-01-08,G minor,"Salvos fac nos, MH 351",,
352,Gloriosus Deus,graduals,1784-01-12,C major,"Gloriosus Deus, MH 352",,
353,Tu es vas electionis,graduals,1784-01-16,A major,"Tu es vas electionis, MH 353",,
354,6 Menuetti,minuets,1784-01-23,A major,,,
355,Nunc dimittis,graduals,1784-01-29,D major,"Nunc dimittis, MH 355",,
356,Ab ortu solis,graduals,1784-02-05,B-flat major,,,
357,Audi filia,graduals,1784-02-27,D minor,"Audi filia, MH 357",,
358,Sinfonia,sinfonias,1784-03-12,B-flat major,,,
359,Domine praevenisti eum,graduals,1784-03-16,C major,"Domine praevenisti eum, MH 359",,
360,Dolorosa et lacrymabilis es,graduals,1784-03-24,C minor,"Dolorosa et lacrymabilis es, MH 360",,
361,Victimae Paschali laudes,graduals,1784-04-05,F major,,,
362,Alleluia. In die resurrectionis,graduals,1784-04-08,B-flat major,"Alleluia in B-flat major, MH 362",,
363,Alelluia. Confitebuntur caeli,graduals,1784-04-16,D major,"Confitebuntur coeli, MH 363",,
364,Dicite in gentibus,graduals,1784-04-22,A minor,"Dicite in gentibus, MH 364",,
365,Alleluia. Ascendit Deus,graduals,1784-05-09,A major,"Alleluia ascendit Deus, MH 365",,
366,Veni Sancte Spiritus,sequences,1784-05-13,E-flat major,"Veni Sancte Spiritus, MH 366",,
367,Quintetto,quintets,1784-05-27,F major,,,
368,"Erhebet euch, Christen",sacred songs,1784-05-29,C major,"Litaneygesang von der Heiligsten Dreyfaltigkeit, MH 368",,
369,Benedictus es Domine,graduals,1784-06-03,B-flat major,"Benedictus es Domine, MH 369",,
370,Exsultabunt Sancti,graduals,1784-06-06,E minor,,,
371,Trauerode,odes,1784-06-17,E-flat major,"Trauerode, MH 371",,F-Pn W-6 48 (840016200)
372,Priusquam te formarem,graduals,1784-06-21,C major,"Priusquam te formarem, MH 372",,
373,Constitues eos principes,graduals,1784-06-24,A major,"Constitues eos principes, MH 373",,
374,Benedicta et venerabilis es,graduals,1784-06-28,E-flat major,"Benedicta et venerabilis es, MH 374",,
375,Adiuvabit eam Deus,graduals,1784-07-07,B-flat major,"Adiuvabit eam, MH 375",,
376,Dilexisti iustitiam,graduals,1784-07-11,D major,"Dilexisti iustitiam, MH 376",,
377,Speciosus forma,graduals,1784-07-24,C major,"Speciosus forma, MH 377",,
378,Probasti Domine,graduals,1784-07-30,D minor,"Probasti Domine cor meum, MH 378",,
379,Felix es sacra,graduals,1784-08-11,F major,,,
380,Nimis honorati sunt,graduals,1784-08-17,E minor,"Nimis honorati sunt, MH 380",,
381,Benedicite Dominum,graduals,1784-08-24,E-flat major,"Benedicite Dominum, MH 381",,
382,Iuravit Dominus,graduals,1784-09-04,E-flat major,"Iuravit Dominus, MH 382",,
383,Locus iste,graduals,1784-09-09,F major,"Locus iste, MH 383",,
384,Sinfonia,sinfonias,1784-09-28,C major,,,
385,Timete Dominum,graduals,1784-10-27,G major,"Timete Dominum, MH 385",reuses “Alleluia” of MH 256,
386,Dilectus meus,graduals,1784-11-12,A major,"Dilectus meus, MH 386",,
387,Tollite portas,graduals,1784-11-19,C major,,,
388,Ave Maria,graduals,1784-11-26,A minor,,,
389,Iustus ut palma,graduals,1784-11-29,G minor,"Iustus ut palma, MH 389",,
390,Tecum principium,graduals,1784-12-05,G major,,,
391,Benedictus qui venit,graduals,1784-12-07,B-flat major,"Benedictus qui venit, MH 391",,
392,Effuderunt sanguinem,graduals,1784-12-11,D major,"Effuderunt sanguinem, MH 392",,
393,Sinfonia,sinfonias,1784-12-30,D minor,"Symphony No.30 in D minor, MH 393",,
394,Stella caeli,sacred songs,c. 1783–1785,F major,"Stella cœli, MH 394",,
395,Pange lingua,sacred songs,c. 1783–1785,C major,"Pange lingua, MH 395",,
396,Tantum ergo,hymns,c. 1783–1785,C major,,,A-Wn Mus.Hs.23104
397,Tu es Petrus,graduals,1785-02-12,A minor,"Tu es Petrus, MH 397",,
398,Beatus vir,graduals,1785-02-19,C minor,"Beatus vir, MH 398",,
399,Sinfonia,sinfonias,1785-03-10,D major,,,
400,Laeta quies,sequences,1785-03-30,B-flat major,"Laeta quies magni Ducis, MH 400",,
401,Oculi omnium,graduals,1785-04-30,D major,,,
402,Alleluia. Confitemini Domini,graduals,1785-05-01,D major,"Alleluia, confitemini Domino, MH 402",,
403,"Domine, quis habitabit",graduals,1785-05-08,E major,"Domine quis habitabit, MH 403",,
404,Tantum ergo,hymns,1785-05-10,C major,,,
405,Sinfonia,sinfonias,1785-05-30,F major,,,
406,Divertimento,divertimentos,1785-06-17,F major,"Divertimento in G major, MH 406",,
407,Serenata,serenatas,1785-09-09,D major,,,
408,Ecce Virgo concipiet,graduals,1785-11-24,E-flat major,"Ecce virgo concipiet, MH 408",,
409,Ne timeas Maria,graduals,1785-11-29,G minor,"Ne timeas, Maria, MH 409",,
410,"Beatus vir, qui suffert",graduals,1785-12-01,A minor,"Beatus vir qui suffert, MH 410",,
411,Divertimento,divertimentos,c. 1786,F major,"String Quintet in F major, MH 411",,
412,Divertimento,divertimentos,c. 1786,B-flat major,"String Quintet in B-flat major, MH 412",,
413,6 Menuetti,minuets,c. 1786,C major,,,
414,6 Menuetti,minuets,1786-01-19,C major,,,
415,Te Deum,te deum,1786-01-30,C major,"Te Deum, MH 415",,
416,Menuetti Tedeschi I,minuets,1786-02-12,D major,,,
417,Menuetti Tedeschi II,minuets,1786-02-12,D major,,,
418,Divertimento,divertimentos,1786-03-09,D major,,,
419,Missa in honorem Sancti Dominici (Messa della Benedicenzia),masses,1786-03-25,C major,,,
420,Sinfonia,sinfonias,1786-05-30,D major,"Symphony No.32 in D major, MH 420",,
421,Marcia,marches,1786-06-30,F major,,,
422,Missa a due Cori (Missa hispanica),masses,1786-08-04,C major,,,
423,6 Menuetti,minuets,1786-08-20,C major,,,
424,Menuetti Tedeschi III,minuets,1786-08-22,D major,,,
425,Sinfonia,sinfonias,1786-09-28,B-flat major,,minuet added in 1797 (see MH 652),
426,Miraculorum patrator,sequences,1786-12-18,G major,"Miraculorum patrator, MH 426",,
427,Heiligste Nacht,sacred songs,1786-12-20,F major,,,"D-Mbs Mus.ms. 4316 (455023995), A-Sca Hs 562"
428,Wie trostreich ist uns,sacred songs,1786-12-20,D major,,,"D-Mbs Mus.ms. 4316 (455023995), A-Sca Hs 562"
429,Heiligste Nacht,sacred songs,after 1786-12-20,A major,"Heiligste Nacht, MH 429",,
430,Wie trostreich ist uns,sacred songs,after 1786-12-20,F major,"Wie trostreich ist uns Adamskindern, MH 430",,
431,Libera me,sacred songs,c. 1787,D minor,,,A-Ssp Hay 1580.1
432,Marcia,marches,c. 1787,D major,,,
433,Beispiele zur Übung im bezifferten Grundbaß,methods,c. 1787,-,,,
434,Contrapunctal studies,methods,c. 1787,-,,,
435,"Prelude, versets and cadenzas","preludes , versets , cadenzas",c. 1787,F major,,,
436,Preludes and finale,"preludes , finales",c. 1787,A minor,,,
437,Emicat meridies,sequences,1787-01-04,F major,"Emicat meridies, MH 437",,
438,Andromeda e Perseo,opera seria,1787-03-14,C major,,,
439,Marcia,marches,1787-05-28,D major,,,
440,Marcia,marches,1787-06-17,C major,,,
441,Marcia,marches,1787-07-07,D major,,,
442,Universi qui te exspectant,graduals,1787-08-26,D minor,"Universi, qui te exspectant, MH 442",,
443,Ex Sion species,graduals,1787-08-28,G minor,"Ex Sion species, MH 443",,
444,"Qui sedes, Domine",graduals,1787-09-01,B-flat major,"Qui sedes, Domine, MH 444",,
445,Prope est Dominus,graduals,1787-09-05,A minor,"Prope est Dominus, MH 445",,
446,Adiutor in opportunitatibus,graduals,1787-09-09,E minor,"Adiutor in opportunitatibus, MH 446",,
447,Sciant gentes,graduals,1787-09-14,G major,"Sciant gentes, MH 447",,
448,Tu es Deus,graduals,1787-09-20,C major,"Tu es Deus, MH 448",,
449,Jubelfeier,sacred cantatas,1787-09-30,B-flat major,,aria “Feuer zu versenden” reworked into MH 450,"H-Bn Ms.mus II.109 (530001738), D-Mbs Mus.ms. 4234 (455022811)"
450,Feuer zu werden,sacred songs,after 1787-09-30,D major,,derived from MH 450,A-Ssp Hay 1650.1
451,Angelis suis,graduals,1787-10-27,B minor,,,
452,Anima nostra,offertories,1787-11-12,G major,"Anima nostra, MH 452",,
453,Tribulationes cordis mei,graduals,1787-11-23,A minor,"Tribulationes cordis mei, MH 453",,
454,Deus in adiutorium,introits,1787-11-29,B-flat major,,,
455,Schäffer-Kantate,secular cantatas,1787-12-28,C major,,,
456,De funestra necis domo,graduals,c. 1786–1788,C major,,,D-Mbs Mus.ms. 14588 (450057134)
457,Ave Regina,antiphons,c. 1786–1788,F major,,,A-RB R 212 (600192492)
458,Libera me,sacred songs,c. 1786–1788,B-flat major,,,A-RB IV.123
459,Libera me,sacred songs,c. 1786–1788,E major,,,A-Sd A 568 (659000650)
460,Tantum ergo,hymns,c. 1786–1788,C major,"Tantum ergo, MH 460",,
461,Heiligste Nacht,sacred songs,c. 1786–1788,G major,"Heiligste Nacht, MH 461",,D-B Mus.ms. 10250 (452009970)
462,Auch die Sprödeste der Schönen,songs,c. 1786–1788,F major,,,
463,Divertimento,divertimentos,c. 1786–1788,B-flat major,,,
464,Divertimento,divertimentos,c. 1786–1788,D major,,,
465,Deutscher Tanz,dances,c. 1786–1788,A major,,,
466,(untitled),pieces,c. 1786–1788,C major,,,
467,(untitled),pieces,c. 1786–1788,D major,,,
468,(untitled),pieces,c. 1786–1788,E-flat major,,,
469,(untitled),pieces,c. 1786–1788,F major,,,
470,(untitled),pieces,c. 1786–1788,G major,,,
471,(untitled),pieces,c. 1786–1788,F major,,,
472,(untitled),pieces,c. 1786–1788,G major,,,
473,Sinfonia,sinfonias,1788-01-02,E-flat major,,,
474,Sinfonia,sinfonias,1788-01-13,G major,,,
475,Sinfonia,sinfonias,1788-01-22,B-flat major,,,
476,Sinfonia,sinfonias,1788-01-30,D major,"Symphony No.37 in D major, MH 476",,
477,Sinfonia,sinfonias,1788-02-10,F major,,,
478,Sinfonia,sinfonias,1788-02-19,C major,,,
479,Exsurge Domine,graduals,1788-02-20,C minor,"Exsurge Domine, MH 479",,
480,Laetatus sum,graduals,1788-02-26,B-flat major,,,
481,Eripe me,graduals,1788-03-01,F minor,"Eripe me Domine, MH 481",,
482,Alleluia. Cognoverunt discipuli,graduals,1788-03-08,D major,"Alleluia, cognoverunt discipuli, MH 482",,
483,Alleluia. Redemptionem misit,graduals,1788-03-14,F major,"Alleluia, redemptionem misit, MH 483",,
484,Alleluia. Dextera Domini,graduals,1788-03-26,A major,"Alleluia, dextera Domini, MH 484",,
485,Alleluia. Surrexit Christus,graduals,1788-04-11,E major,,,
486,Alleluia. Regnavit Dominus,graduals,1788-04-23,C major,,,
487,Ad Domunum dum tribularer,graduals,1788-04-29,A minor,"Ad Dominum cum tribularer, MH 487",,
488,Iacta cogitatum tuum,graduals,1788-05-07,E-flat major,"Iacta cogitatum, MH 488",,
489,Propitius esto Domine,graduals,1788-05-17,D minor,"Propitius esto Domine, MH 489",,
490,Convertere Domine,graduals,1788-05-29,B-flat major,"Convertere Domine, MH 490",,
491,Domine Dominus noster,graduals,1788-06-07,D major,"Domine Dominus noster, MH 491",,
492,Benedicam Dominum,graduals,1788-06-19,F major,,,
493,Die Ährenleserin,singspiele,1788-07-02,G major,,,
494,De profundis,graduals,1788-11-20,D major,"De profundis, MH 494",,
495,Benedictus Dominus Deus Israel,graduals,1788-11-29,F major,"Benedictus Dominus Deus Israel, MH 495",,
496,Misit Dominus verbum suum,graduals,1788-12-10,A major,"Misit dominus verbum suum, MH 496",,
497,Timebunt gentes,graduals,1788-12-20,E major,"Timebunt gentes, MH 497",,
498,Dominus regnavit,graduals,1788-12-29,B-flat major,,,
499,6 Menuetti,minuets,1789-01-15,C major,,,
500,Coda (in Menuetti Tedeschi II),minuets,1789-02-12,D major,,,
501,Protector noster,graduals,1789-02-12,F major,"Protector noster, MH 501",,
502,Venite filii,graduals,1789-03-01,F major,"Venite filii, MH 502",,
503,Esto mihi in Deum,graduals,1789-03-19,A major,"Esto mihi, MH 503",,
504,Custodi me Domine,graduals,1789-04-04,G major,"Custodi me, MH 504",,
505,In Deo speravit cor meum,graduals,1789-04-23,C major,,,
506,Respice Domine,graduals,1789-05-12,E minor,"Respice Domine, MH 506",,
507,Sinfonia,sinfonias,1789-07-15,F major,,,
508,Sinfonia,sinfonias,1789-07-26,A major,,,
509,Bonum est confidere,graduals,1789-08-02,B-flat major,"Bonum est confidere, MH 509",,
510,Bonum est confiteri Domino,graduals,1789-08-22,A major,"Bonum est confiteri, MH 510",,
511,Beata gens,graduals,1789-09-03,E-flat major,,,
512,Der deutsche Kaiser Joseph lebe gesund,songs,1789-10-19,C major,,,
513,Caro mea vere,graduals,c. 1790,F major,"Caro mea vere, MH 513",,
514,"Ihr Christen, bettet",sacred songs,c. 1790,C major,,,A-Sd A 509 (659000705)
515,Marcia,marches,1790-06-12,D major,,,
516,Quintetto,quintets,1790-07-04,E-flat major,,,
517,Deutsches Dixit et Magnificat,vespers,1790-08-24,A major,,,"H-Bn Ms. Mus. IV.204, A-Ssp Hay 1430.1"
518,Divertimento,divertimentos,1790-09-04,G major,"Divertimento in G major, MH 518",,
519,Laetatus sum,graduals,1790-09-14,F major,"Laetatus sum, MH 519",,
520,Dirigatur oratio mea,graduals,1790-09-23,G major,"Dirigatur oratio mea, MH 520",,
521,Domine refugium,graduals,1790-10-14,A major,"Domine refugium factus es, MH 521",,
522,Ecce quam bonum,graduals,1790-10-21,B-flat major,"Ecce quam bonum, MH 522",,
523,Liberasti nos,graduals,1790-10-28,C major,"Liberasti nos, MH 523",,
524,Paratum cor meum,graduals,1790-11-20,D major,,,
525,In omnem terram,graduals,1790-12-14,B-flat major,"In omnem terram, MH 525",,
526,Gloria et honore,graduals,1790-12-25,G major,"Gloria et honore, MH 526",,
527,Der fröhliche Wiederschein,secular cantatas,1791,D major,,,
528,Post partum Virgo,graduals,1791-01-25,G major,"Post partum virgo, MH 528",,
529,Inglese,anglaises,1791-03-07,C major,,,
530,Missa in honorem Sancti Gotthardi (Missa Admontis),masses,1792-02-19,C major,"Missa in honorem Sancti Gotthardi, MH 530",,
531,"Ad te, Domine",offertories,1792-02-29,G major,"Ad te, Domine, MH 531",,"A-RB IV.123, A-KR D 14/54 (600176331), A-LA 1387 (603002668)"
532,Litaniae de venerabili sacramento,litanies,1792-03-25,B-flat major,"Litaniae de Venerabili Sacramento, MH 532",edited,
533,Antiphonarium romanum,antiphons,1792-05-27,-,,movements reworked into MH 534 and 535,
534,Salve Regina,antiphons,after 1792-05-27,G major,"Salve Regina in D major, MH 534",derived from MH 533,
535,Tantum ergo,hymns,after 1792-05-27,G major,,derived from MH 533,D-Mt MK 1027/1032
536,Deutsches Hochamt,masses,1793,A major,,,
537,Gott! Vor Dir,sacred songs,1793,C major,,,
538,Mit frommen Eifer,sacred songs,1793,C major,,,
539,Mit frommen Eifer,sacred songs,1793,C major,,derived from MH 73,
540,Was ists dass ich mich quäle?,sacred songs,1793,C major,,,
541,Was ists dass ich mich quäle?,sacred songs,1793,C major,,,
542,Ewiges Wesen,offertories,1793-02-28,C major,,derived from MH 107,A-Ssp Hay 1970.5
543,Am Kirchenweihfest,sacred songs,1793-06-25,C major,,,A-Sm Autogr Var 15 (1001026803)
544,(untitled),pieces,c. 1793,G major,,,A-Sm Autogr Var 15 (1001026803)
545,(untitled),pieces,c. 1793,G major,,,A-Sm Autogr Var 15 (1001026803)
546,Missa in honorem Sanctae Ursulae (Missa Chiemsensis),masses,1793-08-05,C major,"Missa in C major, MH 546",,
547,Exaltabo te,offertories,1793-08-09,C major,"Exaltabo te Domine, MH 547",,"A-KR D 14/56 (600176338), A-LA 1382 (603002663), D-Mbs Mus.ms. 842 (456009524)"
548,Vesperae pro festo Sanctissimae Innocentium,vespers,1793-12-08,F major,"Vesperae pro festo sanctissimae Innocentium, MH 548",,
549,Die Feierabendstunde,songs,c. 1794,G major,,,
550,12 Menuetti,minuets,1794-01-16,C major,,,
551,Missa pro Quadragesima,masses,1794-02-15,F major,,,
552,Missa quadragesimalis,masses,1794-03-06,A minor,,,
553,Missa tempore quadragesimae,masses,1794-03-31,D minor,"Missa tempore Quadragesima, MH 553",,
554,Vos estis,graduals,1794-05-28,C major,"Vos estis, MH 554",,
555,Mutter des Lebens,arias,1794-07-25,F major,,,"D-WS 555 (450039996), H-Bn Ms. Mus. 2499"
556,Laudibus mons,graduals,1794-08-20,G major,,,"D-Mbs Mus.ms. 4155 (455022659), A-LA 1344 (603002620)"
557,Perfice gressus meos,offertories,1794-08-27,B-flat major,,chorus added in 1797 (MH 655),"A-RB R 229 (600033607), A-KR D 23/301 (600176346)"
558,Commercelied,songs,1794-09-01,D major,,,
559,Missa pro defunctis,requiems,c. 1792–1795,C major,,wrong attribution – composed by Georg Pasterwiz OSB,
560,Deutsche Messe,masses,c. 1795,B-flat major,"Deutsches Hochamt für Stadt- und Landkirchen, MH 560",,
561,Deutsche Messe,masses,c. 1795,E-flat major,,,
562,Deutsche Messe,masses,c. 1795,F major,,,
563,Die alten und heutigen Sitten,songs,c. 1795,D minor,,,
564,Die alten und heutigen Sitten,songs,c. 1795,D minor,,,
565,Singt heilig!,sacred songs,c. 1795,E major,,,D-WS 402
566,An Ignatia,songs,c. 1795,F major,,,
567,"Wenn ich, o Schöpfer",sacred songs,c. 1795,G major,"Wenn ich, o Schöpfer, MH 567",,
568,Canonic studies,canons,c. 1795,-,,,
569,National-Marsch (Josias Coburg Marsch),marches,c. 1795,C major,,,
570,6 Tedeschi,pieces,c. 1795,G major,,,
571,(untitled),pieces,c. 1795,C major,,,
572,Asperges me,sacred songs,c. 1795,F major,,,
573,Asperges me,sacred songs,c. 1795,F major,"Asperges me, MH 573",,
574,Vier deutsche Choralvespern,vespers,1795,C major,,,
575,Aus Davids Psalmen,psalms,1795,C major,"Aus Davids Psalmen und Biblischen Gesängen, MH 575",,
576,Ein Rundgesang von Gottes Güte anstatt des Magnificat,sacred songs,c. 1795,F major,"Ein Rundgesang von Gottes Güte, MH 576",,
577,Es packe dich,canons,1795,F major,"Es packe dich das Glück beim Kragen, MH 577",,
578,Glückwunsch,songs,1795,F major,,,
579,Das Liedchen von der Ruh,songs,1795,A major,,,
580,Die Unschuld,songs,1795,F major,,,
581,Einladung in unsern Garten zu Arnsdorf,songs,1795,B-flat major,,,
582,Glück fehl Dir,songs,1795,G major,"Glück fehl dir vor allem, MH 582",,
583,Frater Caspar Decini!,songs,1795,G major,,,
584,"Wohlsein, Freunde",songs,1795,C major,"Wohlsein und Freude, MH 584",,
585,Tischlied,songs,1795,C major,,,
586,Der frühe Bund,songs,1795,B-flat major,,,
587,Das Liedchen von der Ruh,songs,1795,A major,,,
588,Hymne an Gott,sacred songs,1795-01-05,B-flat major,,,
589,Mailied,songs,1795-01-31,D major,,,
590,Trinklied im Winter,songs,1795-01-31,A major,,,
591,Verwandlungen,songs,1795-02-05,G major,,,
592,Bußgesang in der Fastenszeit,sacred songs,1795-03-25,F major,"Bußgesang in der Fastenszeit, MH 592/811",instrumental accompaniment in MH 811,
593,Ständchen,songs,1795-04-18,A major,,,
594,Ständchen,songs,1795-04-20,A major,,,
595,Iam sol recedit igneus,hymns,1795-05-29,F major,"Iam sol recedit igneus, MH 595",,
596,Gloria,masses,1795-07-16,B-flat major,,prolonged version of the Gloria from Joseph Haydn’s Missa brevis Sancti Joannis de Deo (Hob. XXII:7),
597,Einweihung,songs,1795-07-23,B-flat major,,,
598,Auf den Tod des Herrn Schachtners,songs,1795-07-24,D major,,,
599,An Ignatia,songs,1795-07-28,D major,,,
600,Quartetto,quartets,1795-08-03,C major,"Quartet for English horn, Violin, Cello and Bass, MH 600",,
601,Marcia turchesa,marches,1795-08-06,C major,"Marcia turchesca, MH 601",,
602,Deutsches Hochamt,masses,1795-08-17,B-flat major,"Deutsches Hochamt, MH 602",,
603,(untitled),pieces,c. 1795-08-17,-,,,
604,An unsern Garten,songs,1795-09-02,D major,,,
605,An unsern Garten,songs,1795-09-04,D major,,,
606,Einweihung,songs,1795-09-04,B-flat major,,,
607,Hochzeitslied,sacred songs,1795-09-05,G major,,derived from MH 279,D-Mbs Mus.ms. 3749 (455016856)
608,Lied der Freiheit,songs,1795-11-06,D major,,,
609,Lied der Freiheit,songs,1795-11-10,D major,,,
610,Deutsches Tenebrae,responsories,1795-11-11,E-flat major,,lost,
611,Deutsches Hochamt,masses,1795-11-11,F major,,,
612,Die Gans bebrüht das Gänschen,canons,1796,B-flat major,,,
613,An Decini,songs,1796,C major,,,
614,Meiner Freunde Gesinnungen,songs,1796,D major,,,
615,Freundschaftslied,songs,1796,F major,,,
616,Freundschaftslied,songs,1796,F major,,,
617,Es lebe Taddeo,canons,1796,G major,,,
618,Herzige Nani!,canons,1796,E-flat major,,,
619,Vom Glück sei alles,canons,1796,B-flat major,"Vom Glück sei alles dir beschert, MH 619",,
620,Frühlingslied,songs,1796,G major,,,
621,Frühlingslied,songs,1796,G major,,,
622,Trinklied,songs,1796,E major,,,
623,Trinklied,songs,1796,E major,,,
624,Ehrenlied,songs,1796,A major,,,
625,Die Ölberg Andacht,sacred cantatas,1796-02-01,A minor,,,
626,Tischlied,songs,1796-02-03,G major,,,
627,Das Gebet,songs,1796-02-12,G minor,"Das Gebeth, MH 627",,
628,"Introitus, Graduale, Offertorium et Communio ad Missam in Coena Domini",sacred songs,1796-03-07,A minor,"Introitus, Graduale, Offertorium et Communio, MH 628",,
629,Deutsches Hochamt,masses,1796-03-23,C major,"Deutsches Hochamt, MH 629",,
630,Dankesempfindung,songs,1796-03-23,C major,,,
631,"Sagt, wo sind die Veilchen hin",songs,1796-07-23,G major,,,
632,"Sagt, wo sind die Veilchen hin",songs,c. 1796-07-23,G major,,,
633,Schon grünen die Hecker,songs,c. 1796-07-23,A major,,,
634,Salve Regina,antiphons,1796-08-01,A major,"Salve Regina in A major, MH 634",,
635,Virgo prudentissima,graduals,1796-08-05,C major,"Virgo prudentissima, MH 635",,
636,Grabet mit fleißigen Händen,sacred songs,1796-10-30,C minor,,,H-Bn Ms. Mus. II.45
637,Alma redemptoris mater,antiphons,1796-11-16,D major,"Alma Redemptoris Mater, MH 637",,
638,Gaude Virgo,graduals,1796-11-24,D major,"Gaude virgo mater Christi, MH 638",,
639,Responsoria ad Matutinum in Nativitate Domini,responsories,1796-12-09,F major,,,H-Bn Ms.mus II.51 (530001801)
640,Te colimus Principem coeli,offertories,c. 1795–1797,B-flat major,"Te colimus Principem coeli, MH 640",,"A-RB R 187 (600033565), A-LA 1372 (603002653)"
641,Sintemal und all’ die Weilen,canons,c. 1795–1797,F major,,,
642,Deutsches Hochamt,masses,1797,B-flat major,,lost,
643,Segen,sacred songs,1797,D major,"Segen, MH 643",,"A-Wn S.m. 18470, A-RB IV.123"
644,Friedenslied,songs,1797,C major,,,
645,Rundgesang für eine Gesellschaft Studierender,songs,1797,A major,,,
646,Schön ist das Leben,songs,1797,F major,,,
647,Friedenslied,sacred songs,1797,C major,,,
648,Sehnsucht nach Liebe,songs,1797-01-03,A major,,,
649,Türkisches Kriegslied,songs,1797-01-03,F major,,,
650,Ave Regina,antiphons,1797-01-21,G major,,,
651,Germinavit radix Jesse,graduals,1797-01-27,G major,"Germinavit radix Jesse, MH 651",,
652,Menuetto,minuets,1797-02-16,B-flat major,,late addition to MH 425,
653,Ecce ancilla Domini,graduals,1797-02-23,B-flat major,"Ecce ancilla Domini, MH 653",,
654,Sub tuum praesidium,offertories,1797-02-24,C major,Sub tuum praesidium,,
655,Dominus firmamentum,offertories,1797-04-04,B-flat major,,late addition to MH 557,"H-Bn Ms. mus. 2501, A-Ssp Hay 1110.1, A-WIL"
656,Hodie scietis,graduals,1797-05-12,E-flat major,,,
657,Monsieur Hans,songs,1797-06-07,E-flat major,,,
658,Monsieur Hans,songs,c. 1797-06-07,E-flat major,,,
659,Lied im Grünen,songs,1797-06-24,G major,,,
660,Lied im Grünen,songs,c. 1797-06-24,G major,,,
661,Trinklied,songs,1797-07-11,B-flat major,,,
662,Trinklied,songs,1797-07-18,B-flat major,,,
663,Türkisches Kriegslied,songs,1797-07-23,F major,,,
664,(untitled),pieces,c. 1797,G major,,,
665,Die Elfen,songs,1797-08-10,A major,,,
666,Ermunterungslied,songs,1797-08-12,C major,,,
667,Freundschaftslied,songs,1797-08-12,G major,,,
668,Patritius,sacred cantatas,1797-09-26,C major,,,
669,Responsoria in festo Resurrectione Domini,responsories,c. 1795–1798,G major,,,H-Bn Ms.mus II.52 (530001732)
670,Ipsa Virgo virginum,graduals,c. 1795–1798,D major,"Ipsa Virgo virginum, MH 670",,
671,Deutsches Hochamt,masses,c. 1795–1798,F major,,,
672,Deutsches Te Deum,te deum,c. 1795–1798,C major,,,A-Sd A 598 (659000679)
673,Deutsches Magnificat,psalms,c. 1795–1798,F major,,derived from MH 323,A-Ssp Hay 1425.1
674,Deutsche Fastenvesper,vespers,c. 1795–1798,G major,,,D-Mbs Mus.ms. 4144#Beibd.1 (455022563)
675,Deutsches Salve Regina,antiphons,c. 1795–1798,B-flat major,,,A-Sd A 608 (659000703)
676,Deutsches Alma Redemptoris mater,antiphons,c. 1795–1798,G major,,,A-Sd A 608 (659000704)
677,Deutsches Ave maris stella,sacred songs,c. 1795–1798,G major,,,A-Sd A 599
