id,title,genre,date,key,title_imslp,notes,sources
78,Invictus heros,hymns,c. 1766,D minor,,,A-Sd A 582 (659000664)
79,Iam faces lictor,hymns,c. 1766,F major,,,A-Sd A 583 (659000665)
80,Regina coeli,antiphons,1766-05-15,C major,,,"A-HE, A-Sd, HR-Zha"
81,Concerto,concertos,1766-09-19,D major,,,
82,Sinfonia,sinfonias,1766-09-27,B-flat major,,final movement under MH 184,
83,Pastorello,pastorales,1766-12-23,C major,,,
84,Der Traum,pantomimes,1767-02-07,A major,,"“O Amaryllis” (act 2, no. 7) reworked as offertorium MH 195",
85,Die Schuldigkeit des ersten und fürnehmsten Gebotes,singspiele,before 1767-03-12,unknown,,only libretto known,
86,Serenata,serenatas,1767-08-10,D major,,,
87,Missa Sancti Raphaelis,masses,c. 1765–1768,C major,,Gloria and Credo added in 1768 (MH 111),
88,Litaniae lauretanae,litanies,c. 1765–1768,B-flat major,"Litaniae lauretanae, MH 88",revised version of MH 74,
89,Litaniae lauretanae,litanies,c. 1765–1768,G major,,,
90,Salve Regina,antiphons,c. 1765–1768,B-flat major,,,A-GÖ 2302
91,Salve Regina,antiphons,c. 1765–1768,C major,,,"HR-Zha, H-Bn"
92,Alma redemptoris mater,antiphons,c. 1765–1768,D major,,fragment for soprano and continuo,
93,Regina coeli,antiphons,c. 1765–1768,E-flat major,"Regina coeli, MH 93",,
94,Regina coeli,antiphons,c. 1765–1768,E major,,,A-Gd Ms. 47
95,Eia laeti exsultemus,offertories,c. 1765–1768,A major,,,HR-Zha LXVI.M (500027077)
96,Veni Sancte Spiritus,offertories,c. 1765–1768,D major,,,"A-WIL, A-Ee"
97,Cantate Domino,arias,c. 1765–1768,D major,"Cantate Domino, MH 97",,
98,Asperges me,antiphons,c. 1765–1768,F major,"Asperges me, MH 98",,
99,Vidi aquam,antiphons,c. 1765–1768,C major,"Vidi aquam, MH 99",,
100,Jesu corona Virginum,hymns,c. 1765–1768,A minor,,,A-LA 1398 (603002683)
101,O salutaris hostia,hymns,c. 1765–1768,D major,"O salutaris hostia, MH 101",,A-RB R 175 (600033553)
102,Laudate pueri,psalms,c. 1765–1768,A minor,,,A-Ee
103,Alma redemptoris mater,antiphons,c. 1765–1768,A major,,,CZ-Pnm A-N no sig (601000069)
104,Concerto,concertos,c. 1765–1768,D major,"Trumpet Concerto No.2 in D major, MH 104",,
105,Concerto,concertos,c. 1765–1768,D major,,,
106,Der Kampf der Buße und Bekehrung,sacred oratorios,1768-02-21,E-flat major,,,
107,Die Hochzeit auf der Alm,operettas,1768-05-06,G major,"Die Hochzeit der Alm, MH 107",supplemental music in MH 218, “Lobet ihr Kräfte” reworked into MH 542
108,Sinfonia,sinfonias,after 1768-05-06,G major,,uses material from MH 107,
109,Missa Sancti Nicolai Tolentini,masses,1768-09-17,C major,,,
110,Litaniae de venerabili sacramento,litanies,1768-10-10,B-flat major,"Litaniae de Venerabili Sacramento, MH 110",,
111,Gloria et Credo ad Missam Sancti Raphaelis,masses,1768-11-07,C major,,for MH 87,
112,Gloria et Credo ad Missam Sancti Gabrielis,masses,1768-12-01,C major,,for MH 17,
113,Tenebrae,responsories,c. 1769,A-flat major,Tenebrae factae sunt in A-flat major,,
114,Completorium,psalms,c. 1769,A major,,reworks material of MH 58,F-Pn D-5588 (840016579)
115,Inveni David,offertories,c. 1769,C major,,adaptation of a movement in MH 114,A-RB R 201 (600033579)
116,Et bracchium meum,offertories,c. 1769,A major,,adaptation of a movement in MH 114,A-RB R 202 (600033580)
117,Kaiser Constantin I,secular oratorios,1769-02-20,C major,,,
118,Die Wahrheit der Natur,singspiele,1769-07-07,F major,,,
119,Missa Sancti Francisci Seraphici,masses,c. 1768–1770,C major,"Missa sancti Francisci Seraphici, MH 119",,
120,Litaniae de Beata Virgine Maria,litanies,c. 1768–1770,C major,"Litaniae Lauretanae, MH 120",spurious attribution,
121,Ecce Virgo,offertories,c. 1768–1770,C major,,lost,
122,Nos conservat,offertories,c. 1768–1770,D major,,,"A-Ssp Hay 1530.1, A-LA 1381 (603002662)"
123,Non me avertet,offertories,c. 1768–1770,E-flat major,"Non me a te avertet, MH 123",spurious attribution,
124,Tubae resonatae,offertories,c. 1768–1770,C major,,,"A-Ssp Hay 1550.1, A-KR D 25/350 (600176353)"
125,Tenebrae,responsories,c. 1768–1770,A major,,,
126,Vexilla Regis,hymns,c. 1768–1770,G minor,"Vexilla Regis, MH 126",,
127,Ave Regina,antiphons,c. 1768–1770,E-flat major,,,D-WS 334 (450039957)
128,Regina coeli,antiphons,c. 1768–1770,D major,"Regina coeli, MH 128",spurious attribution,
129,Salve Regina,antiphons,c. 1768–1770,G major,,,"A-KR F 7/212 (600176178), A-LA 1759 (1001011549)"
130,Tantum ergo,hymns,c. 1768–1770,D minor,,,A-Ssp Hay 1295.1
131,Ihr Himmel thaut herab,arias,c. 1768–1770,B-flat major,"Ihr Himmel thaut herab, MH 131",,
132,Sinfonia,sinfonias,c. 1768–1770,D major,,,
133,Sinfonia,sinfonias,c. 1768–1770,B-flat major,,,
134,Concerto,concertos,c. 1768–1770,D major,,,
135,12 Menuetti,minuets,c. 1768–1770,C major,,,
136,12 Menuetti,minuets,c. 1768–1770,C major,,,
137,6 Menuetti,minuets,c. 1768–1770,C major,,,
138,Der reumütige Petrus,sacred oratorios,1770-03-11,B-flat major,,"“Der Gerechte” (part 1, no. 3) reworked as offertorium MH 139",
139,Tota pulchra es,offertories,after 1770-03-11,D major,,contrafactum of movement in MH 138,A-KR D 25/332 (600176365)
140,Ave Regina,antiphons,1770-03-23,F major,"Ave Regina, MH 140",,
141,Ballet,ballets,1770-07-16,A major,,three movements reused in MH 150,
142,Cantate Domino,offertories,c. 1770,E minor,"Cantate Domino, MH 142",adopted from lost school drama “Pietas christiana”,
143,Sicut cervus,offertories,c. 1770,F major,"Sicut cervus ad fluenta, MH 143",adopted from lost school drama “Pietas christiana”,
144,Quid video superi?,sacred cantatas,1770-11-14,G major,"Applausus, MH 144",sinfonia reused in MH 181,
145,Te Deum,te deum,1770-12-09,C major,"Te Deum, MH 145",,
146,Anima nostra,offertories,1771,D major,,,A-LA 1537 (1001011113)
147,Der büßende Sünder,sacred oratorios,1771-02-15,D minor,"Der büßende Sünder, MH 147",,
148,Hermann,pantomimes,1771-08-01,C major,"Hermann, MH 148",movements reworked into MH 149–153,
149,O Maria nostra spes,offertories,after 1771-08-01,E-flat major,,derived from “Chorus Bardorum” in MH 148,"D-Mbs Mus.ms. 4133 (455022522), D-Mbs Mus.ms. 4332 (455024087), A-LA 1369 (603002650)"
150,Sinfonia,sinfonias,after 1771-08-01,D major,,reuses parts of MH 148,
151,Sinfonia,sinfonias,after 1771-08-01,E major,,reuses parts of MH 148,
152,Sinfonia,sinfonias,after 1771-08-01,A major,,reuses parts of MH 148,
153,Notturno,nocturnes,after 1771-08-01,G major,,reuses parts of MH 148,
154,Missa Sancti Nicolai Tolentini,masses,1771-12-14,C major,,,
155,Missa pro defuncto Archiepiscopo Sigismundo,requiems,1771-12-31,C minor,"Requiem in C minor, MH 155",,
156,Litaniae de Beata Virgine Maria,litanies,c. 1770–1772,C major,,,
157,Litaniae de Beata Virgine Maria,litanies,c. 1770–1772,C major,,,
158,Deus tuorum militium,hymns,c. 1770–1772,C major,,incomplete,
159,O festiva dies. O virum fortem,motets,c. 1770–1772,C major,,incomplete,
160,Surrexit Pastor. Plaudes plebs,motets,c. 1770–1772,C major,,,A-Ssp Hay 1545.1
161,Veni Sancte Spiritus,sequences,c. 1770–1772,G major,,,A-GÖ uncatalogued
