id,title,genre,date,key,title_imslp,composer_imslp,notes
234,Leichengesang,choruses,?,A-flat major,,,
235,"Erquickend sanft, gefühlvoll staunend",choruses,?,C major,,,
236,"So huldgen wir, im Aug die Thräne",choruses,1799,G major,,,
237,Dem Maurerbunde treu zu halten,choruses,?,F major,,,
238,Aus dem blühenden Vereine,choruses,?,?,,,
239,Trachten will ich nicht,choruses,?,F major,,,
240,Es töne dann in rascher Saiten Sturme,choruses,?,D major,,,
241,Ergänzungen zum Mozart-Requiem,requiems,1791,D minor,"Requiem in D minor, K.626",Mozart|Wolfgang Amadeus,
242,Menuett,minuets,`,G major,,,
243,Aus Haydns Schöpfung,oratorios,?,?,,,
244,Stabat Mater (Pergolesi),sequences,?,?,,,
245,Potpourri von verschiedenen Hofmusikern,miscellaneous,?,?,,,
246,Skizzen zu Kyrie und Gloria einer Messe,sketches,?,?,,,
247,Fragment eines mythologischen Balletts,sketches,?,?,,,
248,Skizze eines Streichtrios,sketches,?,E-flat major,,,
249,Laßt uns Brüder Weisheit erhöhn,sketches,?,?,,,
250,Ein Wandrer der nach langen Reisen,sketches,?,?,,,
